2026-07-02 17:05:47,339 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-07-02 17:05:47,611 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-07-02 17:05:48,969 - INFO - Started scraping CheMed123
2026-07-02 17:05:50,611 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:05:51,655 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:05:54,180 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:05:55,348 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:05:56,449 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:05:57,596 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:05:59,183 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:00,092 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:02,394 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:04,984 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:07,795 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:09,428 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:10,362 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:11,513 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:13,179 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:14,216 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:17,155 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:19,632 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:22,004 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:23,435 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:25,261 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:26,521 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:29,297 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:30,868 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:32,348 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:33,716 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:34,769 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:35,765 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:36,431 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:37,371 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:40,358 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:41,985 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:43,531 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:45,062 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:46,524 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:47,523 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:49,845 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:50,874 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:52,481 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:53,444 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:54,578 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:56,215 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:57,277 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:06:58,502 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:07:01,236 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:07:02,055 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:07:03,848 - INFO - Saved 50 messages from CheMed123
2026-07-02 17:07:03,848 - INFO - Started scraping lobelia4cosmetics
2026-07-02 17:07:04,864 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-07-02 17:07:05,650 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
